c1_plots_number,c2_plots_number,l1_plots_number,l2_plots_number,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1,DistancesToClusterCenter no.2
4,2,9,9,3,4.96374836767215,15.1858725319762,15.504961984921
4,2,8,8,3,6.34207351338009,13.8352865023356,16.9143771344426
5,8,7,7,3,9.27540640914192,14.7899403607162,19.0692059453092
9,9,4,4,3,14.4776440811086,14.4715235099872,24.0740044925578
-1,0,-2,-2,1,21.0192248178204,1.48113145523562,31.4021679800321
2,2,8,8,3,6.42590997325114,13.3877970847071,16.9189243156886
5,4,6,6,3,9.26142586890234,11.9968999206571,19.8169507861714
5,7,2,2,3,15.3293213689392,9.4265151059156,25.7476660630106
3,2,4,4,3,11.9201301202177,8.21838450479309,22.5375754617108
7,6,6,6,3,10.2286222606237,13.6351834469677,20.3190891679569
