c1_plots_number,c2_plots_number,l1_plots_number,l2_plots_number,x_block_coordinate,y_block_coordinate,objectid,codmanzana,codsector,codsubsector,x_centroid_coordinate,y_centroid_coordinate,x_true_centroid_coordinate,y_true_centroid_coordinate,block_area,block_length,c1_length,c2_length,l1_length,l2_length,block_apexes_number,rectangular_form,square_form,is_multipart
2,2,11,11,775533.1,8.989907e+06,6282,102677,10,102,775533.1,8.989907e+06,775533.1,8.989907e+06,2377.9688,204.49599,36.27457,65.75771,35.35003,67.11368,4,t,f,f
2,2,11,11,775503.4,8.989945e+06,6283,102682,10,102,775503.4,8.989945e+06,775503.4,8.989945e+06,2388.2888,204.3985,35.99537,65.92548,36.370728,66.106926,4,t,f,f
2,2,11,11,775438.6,8.98983e+06,6284,102658,10,102,775438.6,8.98983e+06,775438.6,8.98983e+06,2375.9353,203.99713,35.99952,65.9991,35.99961,65.99889,4,f,t,f
2,2,11,11,775408.5,8.989867e+06,6285,102657,10,102,775408.5,8.989867e+06,775408.5,8.989867e+06,2375.9253,203.99681,35.999454,65.99902,35.999393,65.99895,4,f,t,f
6,6,8,8,775566.5,8.989966e+06,6286,102683,10,102,775566.5,8.989966e+06,775566.5,8.989966e+06,2982.1626,238.57146,35.65585,84.12,35.679615,83.11598,4,t,f,f
1,1,-1,-1,775468.06,8.989891e+06,6287,102678,10,102,775468.06,8.989891e+06,775468.06,8.989891e+06,3275.9036,245.99629,38.999493,83.998726,38.99943,83.99865,4,f,t,f
1,1,-1,-1,775597.9,8.989728e+06,6288,102621,10,102,775597.9,8.989728e+06,775597.9,8.989728e+06,3275.8975,245.9962,38.99937,83.998726,38.99937,83.998726,4,f,t,f
6,6,8,8,775631.94,8.989883e+06,6289,102660,10,102,775631.94,8.989883e+06,775631.94,8.989883e+06,3067.4663,241.30937,36.756405,84.95753,36.096687,83.49876,4,t,f,f
2,2,15,15,775482,8.989793e+06,6290,102652,10,102,775482,8.989793e+06,775482,8.989793e+06,3524.6587,258.27948,39.144142,90.221214,39.25371,89.66041,4,t,f,f
2,2,15,15,775512.1,8.989754e+06,6291,102651,10,102,775512.1,8.989754e+06,775512.1,8.989754e+06,3209.379,251.68391,35.748802,90.106705,35.37064,90.457756,4,t,f,f
2,2,15,15,775589,8.989818e+06,6292,102650,10,102,775589,8.989818e+06,775589,8.989818e+06,3319.9902,253.83778,35.384773,90.09216,38.42252,89.93833,4,t,f,f
2,2,11,11,775659,8.989747e+06,6293,102648,10,102,775659,8.989747e+06,775659,8.989747e+06,2423.5315,205.57721,36.52195,65.920715,36.823597,66.31095,4,t,f,f
2,2,11,11,775629.44,8.989785e+06,6294,102649,10,102,775629.44,8.989785e+06,775629.44,8.989785e+06,2434.082,206.04454,36.961716,66.09117,36.472427,66.51922,4,t,f,f
2,2,11,11,775534.3,8.989707e+06,6295,102620,10,102,775534.3,8.989707e+06,775534.3,8.989707e+06,2377.5137,203.72133,35.99936,65.99911,36.45395,65.26891,4,t,f,f
2,2,12,12,775756.4,8.989725e+06,6296,102624,10,102,775756.4,8.989725e+06,775756.4,8.989725e+06,2988.5745,239.25537,35.149242,84.66979,35.9994,83.436935,4,t,f,f
2,2,13,13,775712.44,8.989658e+06,6297,102609,10,102,775712.44,8.989658e+06,775712.44,8.989658e+06,3246.1416,252.94855,35.816456,90.78605,35.82052,90.52552,4,t,f,f
2,2,13,13,775636.9,8.989596e+06,6298,102583,10,102,775636.9,8.989596e+06,775636.9,8.989596e+06,3258.8882,253.36803,35.815617,90.74735,36.001255,90.803795,4,f,t,f
2,2,15,15,775432.7,8.990016e+06,6299,102704,10,102,775432.7,8.990016e+06,775432.7,8.990016e+06,3248.44,252.38672,36.020832,89.93397,36.05283,90.37908,4,t,f,f
2,2,20,20,775161.7,8.989647e+06,6646,102613,10,102,775161.7,8.989647e+06,775161.7,8.989647e+06,5078.2314,324.78888,42.31272,120.07882,42.24755,120.1498,4,f,t,f
2,2,20,20,775203.44,8.989686e+06,6647,102617,10,102,775203.44,8.989686e+06,775203.44,8.989686e+06,5121.07,325.18875,42.36863,119.94702,43.082237,119.79087,4,t,f,f
2,2,20,20,775244.6,8.989725e+06,6648,102618,10,102,775244.6,8.989725e+06,775244.6,8.989725e+06,5101.8564,325.31485,43.09511,120.27863,41.786404,120.15469,4,t,f,f
2,2,20,20,775285.6,8.989762e+06,6649,102654,10,102,775285.6,8.989762e+06,775285.6,8.989762e+06,5109.2607,325.8615,41.829304,119.90725,42.96695,121.15802,4,t,f,f
2,2,14,14,775150.5,8.988853e+06,6650,102397,10,102,775150.5,8.988853e+06,775150.5,8.988853e+06,3942.7705,276.37756,41.82285,98.13626,38.736313,97.68215,4,t,f,f
2,2,16,16,775196.56,8.988934e+06,6651,102435,10,102,775196.56,8.988934e+06,775196.56,8.988934e+06,4685.6924,307.21753,44.002464,111.58714,39.97367,111.65425,4,t,f,f
2,2,16,16,775235.44,8.988894e+06,6652,102414,10,102,775235.44,8.988894e+06,775235.44,8.988894e+06,4729.2773,308.5467,41.953064,112.29715,42.446384,111.85008,4,t,f,f
2,2,16,16,775287.44,8.98902e+06,6653,102477,10,102,775287.44,8.98902e+06,775287.44,8.98902e+06,4658.5117,306.67197,41.704647,111.797165,41.79253,111.37762,4,t,f,f
2,2,16,16,775325.5,8.988978e+06,6654,102436,10,102,775325.5,8.988978e+06,775325.5,8.988978e+06,4723.882,308.0005,42.497326,112.007866,42.079998,111.41529,4,t,f,f
2,2,24,24,775337.44,8.989532e+06,6655,102580,10,102,775337.44,8.989532e+06,775337.44,8.989532e+06,5753.544,367.9937,39.87373,144.16156,40.012405,143.94601,4,t,f,f
